all,ave,var,pres,name
0.297429737,4.65E-03,4.78E-03,989,pos2-coflow-f1
0.244495682,3.82E-03,5.06E-03,990,pos2-coflow-f1
0.404495555,6.32E-03,7.15E-03,980,pos2-coflow-f6
0.393420492,6.15E-03,6.33E-03,981,pos2-coflow-f6
0.386343378,6.04E-03,6.29E-03,982,pos2-coflow-f6
0.344855199,5.39E-03,5.19E-03,983,pos2-coflow-f6
0.357856976,5.59E-03,5.21E-03,984,pos2-coflow-f6
0.303173482,4.74E-03,5.12E-03,985,pos2-coflow-f6
0.279863555,4.37E-03,5.68E-03,986,pos2-coflow-f6
0.328178604,5.13E-03,4.70E-03,987,pos2-coflow-f6
0.304480719,4.76E-03,4.61E-03,988,pos2-coflow-f6
0.300619609,4.70E-03,4.37E-03,989,pos2-coflow-f6
0.24549995,3.84E-03,4.97E-03,990,pos2-coflow-f6
0.388545415,6.07E-03,6.71E-03,980,pos2-counter-cont
0.378462464,5.91E-03,6.64E-03,981,pos2-counter-cont
0.364636017,5.70E-03,6.05E-03,982,pos2-counter-cont
0.34834317,5.44E-03,5.57E-03,983,pos2-counter-cont
0.345020393,5.39E-03,5.53E-03,984,pos2-counter-cont
0.248118233,3.88E-03,5.77E-03,985,pos2-counter-cont
0.267087933,4.17E-03,5.30E-03,986,pos2-counter-cont
0.312320544,4.88E-03,4.72E-03,987,pos2-counter-cont
0.291906634,4.56E-03,4.31E-03,988,pos2-counter-cont
0.283250412,4.43E-03,4.02E-03,989,pos2-counter-cont
0.169863732,2.65E-03,4.35E-03,990,pos2-counter-cont
0.406283588,6.35E-03,6.76E-03,980,pos2-counter-f1
0.39455509,6.16E-03,6.80E-03,981,pos2-counter-f1
0.367231903,5.74E-03,5.69E-03,982,pos2-counter-f1
0.367332882,5.74E-03,5.71E-03,983,pos2-counter-f1
0.342201317,5.35E-03,5.07E-03,984,pos2-counter-f1
0.299110855,4.67E-03,5.94E-03,985,pos2-counter-f1
0.284823598,4.45E-03,5.74E-03,986,pos2-counter-f1
0.316693417,4.95E-03,4.70E-03,987,pos2-counter-f1
0.305969352,4.78E-03,4.73E-03,988,pos2-counter-f1
0.302168847,4.72E-03,4.54E-03,989,pos2-counter-f1
0.248186488,3.88E-03,5.24E-03,990,pos2-counter-f1
0.406012581,6.34E-03,7.11E-03,980,pos2-counter-f6
0.36798205,5.75E-03,5.05E-03,981,pos2-counter-f6
0.374401653,5.85E-03,6.09E-03,982,pos2-counter-f6
0.366266625,5.72E-03,5.80E-03,983,pos2-counter-f6
0.361934921,5.66E-03,5.88E-03,984,pos2-counter-f6
0.298356997,4.66E-03,6.21E-03,985,pos2-counter-f6
0.291264965,4.55E-03,5.96E-03,986,pos2-counter-f6
0.321140193,5.02E-03,4.64E-03,987,pos2-counter-f6
0.312608968,4.88E-03,4.75E-03,988,pos2-counter-f6
0.296638848,4.63E-03,4.32E-03,989,pos2-counter-f6
0.247008168,3.86E-03,5.14E-03,990,pos2-counter-f6
